pitch_um,focal_mm,f_number,airy_radius_um,max_disp_um,theta_max_mrad,theta_max_soft_mrad,slope_resolution_urad,local_opd_pv_waves,dynamic_to_resolution,valid
99.99999999999999,3.0,31.578947368421055,24.387157894736845,15.612842105263152,5.204280701754384,10.408561403508768,166.66666666666666,1.6443224966048606,62.451368421052614,1
99.99999999999999,4.0,42.10526315789474,32.516210526315795,7.483789473684203,1.8709473684210507,3.7418947368421014,125.0,0.5911366092957505,29.93515789473681,1
99.99999999999999,5.0,52.631578947368425,40.64526315789473,0.0,0.0,0.0,99.99999999999999,0.0,0.0,0
99.99999999999999,6.0,63.15789473684211,48.77431578947369,0.0,0.0,0.0,83.33333333333333,0.0,0.0,0
99.99999999999999,8.0,84.21052631578948,65.03242105263159,0.0,0.0,0.0,62.5,0.0,0.0,0
99.99999999999999,10.0,105.26315789473685,81.29052631578946,0.0,0.0,0.0,49.99999999999999,0.0,0.0,0
99.99999999999999,12.0,126.31578947368422,97.54863157894738,0.0,0.0,0.0,41.666666666666664,0.0,0.0,0
119.99999999999999,3.0,26.315789473684216,20.32263157894737,29.677368421052623,9.892456140350873,19.784912280701747,166.66666666666666,3.7506942712230793,118.7094736842105,1
119.99999999999999,4.0,35.087719298245624,27.09684210526316,22.90315789473683,5.725789473684207,11.451578947368414,125.0,2.170915440259415,91.61263157894732,1
119.99999999999999,5.0,43.85964912280703,33.87105263157895,16.12894736842105,3.22578947368421,6.45157894736842,99.99999999999999,1.2230481416812167,64.5157894736842,1
119.99999999999999,6.0,52.63157894736843,40.64526315789474,9.354736842105254,1.5591228070175422,3.1182456140350845,83.33333333333333,0.5911366092957505,37.418947368421016,1
119.99999999999999,8.0,70.17543859649125,54.19368421052632,0.0,0.0,0.0,62.5,0.0,0.0,0
119.99999999999999,10.0,87.71929824561406,67.7421052631579,0.0,0.0,0.0,49.99999999999999,0.0,0.0,0
119.99999999999999,12.0,105.26315789473686,81.29052631578948,0.0,0.0,0.0,41.666666666666664,0.0,0.0,0
140.0,3.0,22.556390977443613,17.419398496240603,42.58060150375939,14.193533834586463,28.387067669172925,166.66666666666666,6.278340400764943,170.32240601503756,1
140.0,4.0,30.075187969924816,23.22586466165414,36.77413533834586,9.193533834586464,18.38706766917293,125.0,4.066650037415814,147.09654135338343,1
140.0,5.0,37.59398496240602,29.03233082706767,30.96766917293232,6.1935338345864634,12.387067669172927,99.99999999999999,2.739635819406334,123.87067669172929,1
140.0,6.0,45.112781954887225,34.83879699248121,25.161203007518786,4.193533834586464,8.387067669172929,83.33333333333333,1.8549596740666823,100.64481203007514,1
140.0,8.0,60.15037593984963,46.45172932330828,13.54827067669172,1.693533834586465,3.38706766917293,62.5,0.749114492392117,54.19308270676688,1
140.0,10.0,75.18796992481204,58.06466165413534,1.9353383458646525,0.19353383458646525,0.3870676691729305,49.99999999999999,0.08560738338737799,7.741353383458611,1
140.0,12.0,90.22556390977445,69.67759398496241,0.0,0.0,0.0,41.666666666666664,0.0,0.0,0
160.0,3.0,19.73684210526316,15.241973684210528,54.758026315789465,18.252675438596487,36.505350877192974,166.66666666666666,9.227260885230452,219.03210526315786,1
160.0,4.0,26.315789473684216,20.32263157894737,49.67736842105262,12.419342105263155,24.83868421052631,125.0,6.278340400764944,198.70947368421048,1
160.0,5.0,32.89473684210527,25.40328947368421,44.59671052631578,8.919342105263157,17.838684210526313,99.99999999999999,4.50898811008564,178.38684210526313,1
160.0,6.0,39.47368421052632,30.483947368421056,39.51605263157894,6.586008771929823,13.172017543859646,83.33333333333333,3.3294199162994365,158.06421052631575,1
160.0,8.0,52.63157894736843,40.64526315789474,29.354736842105254,3.6693421052631567,7.3386842105263135,62.5,1.8549596740666825,117.41894736842102,1
160.0,10.0,65.78947368421053,50.80657894736842,19.193421052631574,1.9193421052631572,3.8386842105263144,49.99999999999999,0.9702835287270304,76.7736842105263,1
160.0,12.0,78.94736842105264,60.96789473684211,9.03210526315788,0.7526754385964901,1.5053508771929802,41.666666666666664,0.3804994318339286,36.12842105263153,1
179.99999999999997,3.0,17.54385964912281,13.54842105263158,66.45157894736842,22.15052631578947,44.30105263157894,166.66666666666666,12.597455724619604,265.8063157894737,1
179.99999999999997,4.0,23.39181286549708,18.064561403508772,61.935438596491224,15.483859649122804,30.96771929824561,125.0,8.805986530306807,247.74175438596487,1
179.99999999999997,5.0,29.23976608187135,22.580701754385966,57.41929824561402,11.483859649122804,22.96771929824561,99.99999999999999,6.531105013719129,229.67719298245612,1
179.99999999999997,6.0,35.08771929824562,27.09684210526316,52.90315789473684,8.81719298245614,17.63438596491228,83.33333333333333,5.014517335994013,211.61263157894737,1
179.99999999999997,8.0,46.78362573099416,36.129122807017545,43.87087719298245,5.483859649122806,10.967719298245612,62.5,3.118782738837614,175.48350877192976,1
179.99999999999997,10.0,58.4795321637427,45.16140350877193,34.83859649122806,3.483859649122806,6.967719298245612,49.99999999999999,1.981341980543776,139.35438596491224,1
179.99999999999997,12.0,70.17543859649123,54.19368421052632,25.806315789473675,2.150526315789473,4.301052631578946,41.666666666666664,1.2230481416812167,103.2252631578947,1
199.99999999999997,3.0,15.789473684210527,12.193578947368422,77.80642105263156,25.93547368421052,51.87094736842104,166.66666666666666,16.3889249189324,311.22568421052625,1
199.99999999999997,4.0,21.05263157894737,16.258105263157898,73.7418947368421,18.43547368421052,36.87094736842104,125.0,11.649588426041403,294.96757894736834,1
199.99999999999997,5.0,26.315789473684212,20.322631578947366,69.67736842105262,13.935473684210523,27.870947368421046,99.99999999999999,8.805986530306807,278.7094736842105,1
