method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
asm,2.0,20260210,True,3.2427532748193144e-07,0.0,1159.0670839941595,0.5529798827243637,12025,0.6249614357107498,0.5529798827243637,asm_oracle_ls
asm,2.0,20260211,True,4.874779613658934e-07,0.0,1127.9697910067625,0.5517337239908076,6284,0.6239927443851911,0.5517337239908076,asm_oracle_ls
asm,2.0,20260212,True,3.1320570287989635e-07,0.0,1099.0823330066632,0.5578710450369417,11833,0.6293743595555209,0.5578710450369417,asm_oracle_ls
asm,2.0,20260213,True,3.438127330668079e-07,0.0,1156.744042003993,0.5570688265909947,11700,0.6289526552781296,0.5570688265909947,asm_oracle_ls
asm,2.0,20260214,True,1.7797050284761477e-07,0.0,1108.6795410083141,0.5602986732426805,9353,0.6321521671157597,0.5602986732426805,asm_oracle_ls
asm,2.0,20260215,True,1.31489646940755e-07,0.0,1174.9063750030473,0.559628114501281,9487,0.6307002384428356,0.559628114501281,asm_oracle_ls
asm,2.0,20260216,True,3.633389330792623e-07,0.0,1132.085624994943,0.5538935251423133,4926,0.6228522172880012,0.5538935251423133,asm_oracle_ls
asm,2.0,20260217,True,3.479395556625745e-07,0.0,1132.0482089940924,0.5509366057885101,7192,0.6228142950580379,0.5509366057885101,asm_oracle_ls
asm,2.0,20260218,True,2.720090987368461e-07,0.0,1152.9070409887936,0.5591922585759284,7905,0.6301336467467162,0.5591922585759284,asm_oracle_ls
asm,2.0,20260219,True,1.5537979097435937e-07,0.0,1397.4457500153221,0.5557984464778867,11470,0.6258668813002166,0.5557984464778867,asm_oracle_ls
asm,2.0,20260220,True,3.0102478657990054e-07,0.0,1121.769541001413,0.5591981219913076,9970,0.6309033350580889,0.5591981219913076,asm_oracle_ls
asm,2.0,20260221,True,3.671542223253401e-07,0.0,1165.2276660024654,0.5571558651539554,6149,0.628809540058257,0.5571558651539554,asm_oracle_ls
asm,2.0,20260222,True,2.5484014660447646e-07,0.0,1180.0897919747513,0.5514109078365336,6970,0.6230296138548695,0.5514109078365336,asm_oracle_ls
asm,2.0,20260223,True,2.3001910937588703e-07,0.0,1105.0570830120705,0.5560581828329092,11093,0.6267246062038314,0.5560581828329092,asm_oracle_ls
asm,2.0,20260224,True,3.085372320139558e-07,0.0,1173.4090420068242,0.551405800082914,10586,0.6235434799901631,0.551405800082914,asm_oracle_ls
asm,2.0,20260225,True,2.164091324742243e-07,0.0,1219.894915993791,0.5544455326972005,9754,0.6267405031345266,0.5544455326972005,asm_oracle_ls
asm,2.0,20260226,True,4.327543256920453e-07,0.0,1108.859667001525,0.5519119270358761,9110,0.6230288802444213,0.5519119270358761,asm_oracle_ls
asm,2.0,20260227,True,3.883924733108755e-07,0.0,1370.512041990878,0.5532890268776858,7825,0.6245847492060055,0.5532890268776858,asm_oracle_ls
asm,2.0,20260228,True,8.890426469678761e-08,0.0,1184.5745840109885,0.5518087210745073,11261,0.6239107736745397,0.5518087210745073,asm_oracle_ls
asm,2.0,20260229,True,4.3754911330581077e-07,0.0,1143.9585420012008,0.5547799726528234,8361,0.6259482689728392,0.5547799726528234,asm_oracle_ls
asm,2.0,20260210,True,2.980360773146412e-07,0.1,1167.1388749964535,0.5531864111430193,10822,0.6253262013895002,0.5531864111430193,asm_oracle_ls
asm,2.0,20260211,True,4.898287738747376e-07,0.1,1194.2059580178466,0.5523410473717739,5656,0.6246628976495407,0.5523410473717739,asm_oracle_ls
asm,2.0,20260212,True,3.649448326947912e-07,0.1,1104.5795409881976,0.5551627013172109,10650,0.6267793418863512,0.5551627013172109,asm_oracle_ls
asm,2.0,20260213,True,3.182945696885527e-07,0.1,1344.187749986304,0.5565238750456152,10530,0.6286241233063173,0.5565238750456152,asm_oracle_ls
asm,2.0,20260214,True,2.424991425258752e-07,0.1,1141.4005840197206,0.5599739934480978,8418,0.6320564527946114,0.5599739934480978,asm_oracle_ls
asm,2.0,20260215,True,1.747732762930944e-07,0.1,1180.7649999973364,0.5596927547439476,8538,0.6309035587838299,0.5596927547439476,asm_oracle_ls
asm,2.0,20260216,True,3.9712815868134075e-07,0.1,1131.2922920042183,0.5551074667351791,4433,0.623988443978828,0.5551074667351791,asm_oracle_ls
asm,2.0,20260217,True,3.305865973506205e-07,0.1,1157.8199999930803,0.5524131027662527,6473,0.6241818972033626,0.5524131027662527,asm_oracle_ls
asm,2.0,20260218,True,2.60155768228815e-07,0.1,1144.4012920255773,0.5603679145453996,7114,0.6309417169630722,0.5603679145453996,asm_oracle_ls
asm,2.0,20260219,True,1.7686577837336218e-07,0.1,1138.5533749999013,0.5555473229460003,10323,0.6253014121763754,0.5555473229460003,asm_oracle_ls
asm,2.0,20260220,True,3.7447092398632794e-07,0.1,1217.129291006131,0.5584992881277954,8973,0.6300490460217099,0.5584992881277954,asm_oracle_ls
asm,2.0,20260221,True,4.964216531527354e-07,0.1,1544.7203329822514,0.5564719756209068,5534,0.6277437955810395,0.5564719756209068,asm_oracle_ls
asm,2.0,20260222,True,2.4538600695914694e-07,0.1,1153.6522080132272,0.5542369021035547,6273,0.6262692109195583,0.5542369021035547,asm_oracle_ls
asm,2.0,20260223,True,2.120137716111562e-07,0.1,1178.1452919822186,0.5560177471387014,9984,0.626314119243317,0.5560177471387014,asm_oracle_ls
asm,2.0,20260224,True,3.539261823939238e-07,0.1,1133.5276660101954,0.5507377837034592,9527,0.6226378861948294,0.5507377837034592,asm_oracle_ls
asm,2.0,20260225,True,2.5604909939993294e-07,0.1,1125.9417080145795,0.554956592335728,8779,0.6271091676359328,0.554956592335728,asm_oracle_ls
asm,2.0,20260226,True,3.9885131777144284e-07,0.1,1153.226916998392,0.5516568438127993,8199,0.623153477649767,0.5516568438127993,asm_oracle_ls
asm,2.0,20260227,True,4.1844600919804887e-07,0.1,1167.0202920213342,0.554364253257092,7042,0.6259338140416446,0.554364253257092,asm_oracle_ls
asm,2.0,20260228,True,1.5579686280928781e-07,0.1,1113.6025000014342,0.5508436968088923,10135,0.6228070129854665,0.5508436968088923,asm_oracle_ls
asm,2.0,20260229,True,3.9357170135424207e-07,0.1,1194.1238330036867,0.5548471491806034,7525,0.6259531240704168,0.5548471491806034,asm_oracle_ls
asm,2.0,20260210,True,2.407229249441592e-07,0.3,1362.872083002003,0.5521438045278976,8418,0.6243752991251468,0.5521438045278976,asm_oracle_ls
asm,2.0,20260211,True,4.982958128246855e-07,0.3,1089.0302089974284,0.5530149786950791,4399,0.6256613475832736,0.5530149786950791,asm_oracle_ls
asm,2.0,20260212,True,3.1549587942328044e-07,0.3,1316.4280829951167,0.5531830059470796,8283,0.6244023993390487,0.5531830059470796,asm_oracle_ls
asm,2.0,20260213,True,3.820549079747647e-07,0.3,1194.4596669927705,0.5574129777475427,8190,0.629516205034255,0.5574129777475427,asm_oracle_ls
asm,2.0,20260214,True,3.841165683528172e-07,0.3,1124.5116659847554,0.5603419360898524,6547,0.6319802720296284,0.5603419360898524,asm_oracle_ls
asm,2.0,20260215,True,2.271823058712508e-07,0.3,1159.0338750102092,0.5605646556913001,6641,0.6316751252708104,0.5605646556913001,asm_oracle_ls
asm,2.0,20260216,True,3.294376131139434e-07,0.3,1141.8502500164323,0.5543515805739445,3448,0.6235572549231393,0.5543515805739445,asm_oracle_ls
asm,2.0,20260217,True,3.9930762656485473e-07,0.3,1129.846625000937,0.5532536546846699,5034,0.6251518945005723,0.5532536546846699,asm_oracle_ls
asm,2.0,20260218,True,4.603891212557033e-07,0.3,1324.8298750258982,0.5613200083027668,5534,0.6311457115591307,0.5613200083027668,asm_oracle_ls
asm,2.0,20260219,True,2.8495840247744945e-07,0.3,1187.2814579983242,0.5538673406152884,8029,0.6234081544514671,0.5538673406152884,asm_oracle_ls
asm,2.0,20260220,True,4.194609475952645e-07,0.3,1107.1182920131832,0.5573884457327574,6979,0.6284647046453006,0.5573884457327574,asm_oracle_ls
asm,2.0,20260221,True,4.526601463686106e-07,0.3,1181.848334003007,0.554768302566383,4304,0.6267312813408636,0.554768302566383,asm_oracle_ls
asm,2.0,20260222,True,4.038439381264036e-07,0.3,1151.089666003827,0.5530659756198218,4879,0.6259814200917627,0.5530659756198218,asm_oracle_ls
asm,2.0,20260223,True,2.593711399414967e-07,0.3,1189.608374988893,0.5573886067884992,7765,0.6271669481079929,0.5573886067884992,asm_oracle_ls
asm,2.0,20260224,True,4.0255570695625696e-07,0.3,1294.4222500082105,0.5533221806192252,7410,0.6260192899137423,0.5533221806192252,asm_oracle_ls
asm,2.0,20260225,True,3.373506751095469e-07,0.3,1128.5367090022191,0.5569188911301549,6828,0.6293178953272734,0.5569188911301549,asm_oracle_ls
asm,2.0,20260226,True,4.754479404728991e-07,0.3,1178.6622499930672,0.5514104810790448,6377,0.6231779837659245,0.5514104810790448,asm_oracle_ls
asm,2.0,20260227,True,3.965354559262708e-07,0.3,1119.684540986782,0.5563206536274388,5478,0.6285073010108182,0.5563206536274388,asm_oracle_ls
asm,2.0,20260228,True,1.5035456328868304e-07,0.3,1194.9051249830518,0.5513100715632568,7883,0.6231676805391864,0.5513100715632568,asm_oracle_ls
asm,2.0,20260229,True,4.024463452083084e-07,0.3,1108.008167007938,0.5566236691868387,5853,0.6273986953520232,0.5566236691868387,asm_oracle_ls
asm,2.0,20260210,True,3.4630309875693875e-07,0.5,1339.7493330121506,0.5546778720308421,6012,0.6274765187181796,0.5546778720308421,asm_oracle_ls
asm,2.0,20260211,True,5.849746812057107e-07,0.5,1162.8070829901844,0.5518470990087796,3142,0.6243529076068218,0.5518470990087796,asm_oracle_ls
asm,2.0,20260212,True,3.6113678071677774e-07,0.5,1105.9671249822713,0.5520417198983393,5916,0.6228716893379,0.5520417198983393,asm_oracle_ls
asm,2.0,20260213,True,3.986326010583335e-07,0.5,1153.4065419982653,0.55428946057656,5850,0.6257744710526684,0.55428946057656,asm_oracle_ls
asm,2.0,20260214,True,5.370722171775795e-07,0.5,1174.1647080052644,0.55845194476724,4676,0.6297600404182755,0.55845194476724,asm_oracle_ls
asm,2.0,20260215,True,4.5156754953146073e-07,0.5,1095.4084999975748,0.563328930989565,4744,0.634487171252049,0.563328930989565,asm_oracle_ls
asm,2.0,20260216,True,9.646413579068543e-07,0.5,1323.8385420117993,0.5561554876695075,2463,0.6257317726459498,0.5561554876695075,asm_oracle_ls
asm,2.0,20260217,True,4.5782040859047557e-07,0.5,1188.6158339912072,0.5527373387819293,3596,0.6240406019398299,0.5527373387819293,asm_oracle_ls
asm,2.0,20260218,True,6.242852958154689e-07,0.5,1139.4683330145199,0.5570891888221537,3952,0.6266219465343202,0.5570891888221537,asm_oracle_ls
asm,2.0,20260219,True,2.2387958462307721e-07,0.5,1145.4225830093492,0.551344440059088,5735,0.6206616445347906,0.551344440059088,asm_oracle_ls
asm,2.0,20260220,True,4.890110389754324e-07,0.5,1165.7521660090424,0.554390792194579,4985,0.6234095996958069,0.554390792194579,asm_oracle_ls
asm,2.0,20260221,True,4.3872461553698936e-07,0.5,1136.9442919967696,0.5523917148844152,3074,0.6238730832369326,0.5523917148844152,asm_oracle_ls
