method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver,pitch_um,focal_mm
baseline,5.0,20260210,False,0.2924696704921333,0.0,8569.75644081831,,7794,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,5.0,20260211,False,0.3061508470690832,0.0,5923.621792346239,,7500,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,5.0,20260212,False,0.24878621983167817,0.0,3536.7291383445263,,5362,,,baseline_extrap_nn_gpu,150.0,3.0
baseline,5.0,20260210,False,0.29631210372556505,0.0,9625.47105923295,,8639,,,baseline_extrap_nn_gpu,150.0,4.0
baseline,5.0,20260211,False,0.30990119885844375,0.0,12.33922690153122,,63,,,baseline_extrap_nn_gpu,150.0,4.0
baseline,5.0,20260212,False,0.25368183173507736,0.0,1908.7332598865032,,4024,,,baseline_extrap_nn_gpu,150.0,4.0
baseline,5.0,20260210,False,0.2939654376804195,0.0,9060.605518519878,,8011,,,baseline_extrap_nn_gpu,150.0,5.0
baseline,5.0,20260211,False,0.2921794282290927,0.0,5.148202180862427,,12,,,baseline_extrap_nn_gpu,150.0,5.0
baseline,5.0,20260212,False,0.25196164030480783,0.0,3420.7956343889236,,5412,,,baseline_extrap_nn_gpu,150.0,5.0
baseline,5.0,20260210,False,0.29312450054048206,0.0,5428.744476288557,,5163,,,baseline_extrap_nn_gpu,150.0,6.0
baseline,5.0,20260211,False,0.3027746449998519,0.0,3.706861287355423,,8,,,baseline_extrap_nn_gpu,150.0,6.0
baseline,5.0,20260212,False,0.2529316540958966,0.0,1524.9340571463108,,3844,,,baseline_extrap_nn_gpu,150.0,6.0
baseline,5.0,20260210,False,0.3114980082860059,0.0,2340.656440705061,,9,,,baseline_extrap_nn_gpu,150.0,8.0
baseline,5.0,20260211,False,0.38916480880911986,0.0,3.0584298074245453,,4,,,baseline_extrap_nn_gpu,150.0,8.0
baseline,5.0,20260212,False,0.2677220262648141,0.0,13.891670852899551,,72,,,baseline_extrap_nn_gpu,150.0,8.0
baseline,5.0,20260210,False,0.28448565163363915,0.0,2324.1397738456726,,4,,,baseline_extrap_nn_gpu,150.0,10.0
baseline,5.0,20260211,False,0.3256127930154011,0.0,2.97701358795166,,4,,,baseline_extrap_nn_gpu,150.0,10.0
baseline,5.0,20260212,False,0.21395207908220223,0.0,5.481407046318054,,15,,,baseline_extrap_nn_gpu,150.0,10.0
baseline,5.0,20260210,False,0.2862363860221836,0.0,2330.735396593809,,4,,,baseline_extrap_nn_gpu,150.0,12.0
baseline,5.0,20260211,False,0.3211772075465336,0.0,3.2324232161045074,,6,,,baseline_extrap_nn_gpu,150.0,12.0
baseline,5.0,20260212,False,0.23600839992957162,0.0,4.405494779348373,,11,,,baseline_extrap_nn_gpu,150.0,12.0
baseline,5.0,20260210,False,0.3058497461809202,0.0,2943.7862001359463,,3436,,,baseline_extrap_nn_gpu,180.0,3.0
baseline,5.0,20260211,False,0.32849300401081205,0.0,19.828330725431442,,133,,,baseline_extrap_nn_gpu,180.0,3.0
baseline,5.0,20260212,False,0.24744578994582014,0.0,639.1397789120674,,2221,,,baseline_extrap_nn_gpu,180.0,3.0
baseline,5.0,20260210,False,0.2988373544395755,0.0,4504.067532718182,,4845,,,baseline_extrap_nn_gpu,180.0,4.0
baseline,5.0,20260211,False,0.30074174363828543,0.0,9.653005748987198,,46,,,baseline_extrap_nn_gpu,180.0,4.0
baseline,5.0,20260212,False,0.24759332279034008,0.0,846.8308337032795,,2441,,,baseline_extrap_nn_gpu,180.0,4.0
baseline,5.0,20260210,False,0.2956293780632433,0.0,2655.68483248353,,2835,,,baseline_extrap_nn_gpu,180.0,5.0
baseline,5.0,20260211,False,0.3341799472634391,0.0,4.11643460392952,,9,,,baseline_extrap_nn_gpu,180.0,5.0
baseline,5.0,20260212,False,0.25270430946905653,0.0,502.4457201361656,,1986,,,baseline_extrap_nn_gpu,180.0,5.0
baseline,5.0,20260210,False,0.28919025297487677,0.0,1694.8091574013233,,488,,,baseline_extrap_nn_gpu,180.0,6.0
baseline,5.0,20260211,False,0.3986251990058289,0.0,3.540411591529846,,7,,,baseline_extrap_nn_gpu,180.0,6.0
baseline,5.0,20260212,False,0.2524204961244665,0.0,476.56846418976784,,1888,,,baseline_extrap_nn_gpu,180.0,6.0
baseline,5.0,20260210,False,0.308799763866977,0.0,1634.7891688346863,,16,,,baseline_extrap_nn_gpu,180.0,8.0
baseline,5.0,20260211,False,0.4696344514579239,0.0,2.6246532797813416,,4,,,baseline_extrap_nn_gpu,180.0,8.0
baseline,5.0,20260212,False,0.2625948327360936,0.0,3.8543082773685455,,6,,,baseline_extrap_nn_gpu,180.0,8.0
baseline,5.0,20260210,False,0.2829932042383727,0.0,1622.145351022482,,4,,,baseline_extrap_nn_gpu,180.0,10.0
baseline,5.0,20260211,False,0.3300954858234947,0.0,2.5235675275325775,,4,,,baseline_extrap_nn_gpu,180.0,10.0
baseline,5.0,20260212,False,0.27466388412555365,0.0,3.469705581665039,,6,,,baseline_extrap_nn_gpu,180.0,10.0
baseline,5.0,20260210,False,0.2959032006833882,0.0,1637.6742534339428,,5,,,baseline_extrap_nn_gpu,180.0,12.0
baseline,5.0,20260211,False,0.3260849111863542,0.0,2.498634159564972,,4,,,baseline_extrap_nn_gpu,180.0,12.0
baseline,5.0,20260212,False,0.2358733204275427,0.0,2.7323849499225616,,4,,,baseline_extrap_nn_gpu,180.0,12.0
baseline,5.0,20260210,False,0.29841566755075527,0.0,2577.7880772948265,,2973,,,baseline_extrap_nn_gpu,200.0,3.0
baseline,5.0,20260211,False,0.30973878012744976,0.0,17.99185946583748,,104,,,baseline_extrap_nn_gpu,200.0,3.0
baseline,5.0,20260212,False,0.25527396171107375,0.0,724.7943170368671,,2132,,,baseline_extrap_nn_gpu,200.0,3.0
baseline,5.0,20260210,False,0.2950493820396282,0.0,2870.205584913492,,3330,,,baseline_extrap_nn_gpu,200.0,4.0
baseline,5.0,20260211,False,0.38359122022995484,0.0,2.7087852358818054,,4,,,baseline_extrap_nn_gpu,200.0,4.0
baseline,5.0,20260212,False,0.2503620709091663,0.0,379.64579090476036,,1589,,,baseline_extrap_nn_gpu,200.0,4.0
baseline,5.0,20260210,False,0.2972188586383335,0.0,2175.4446402192116,,2309,,,baseline_extrap_nn_gpu,200.0,5.0
baseline,5.0,20260211,False,0.3673544884139791,0.0,2.6190169155597687,,4,,,baseline_extrap_nn_gpu,200.0,5.0
baseline,5.0,20260212,False,0.2512753202429578,0.0,281.7528732120991,,1391,,,baseline_extrap_nn_gpu,200.0,5.0
baseline,5.0,20260210,False,0.36266406564336523,0.0,1311.7897920310497,,43,,,baseline_extrap_nn_gpu,200.0,6.0
baseline,5.0,20260211,False,0.30214375593541537,0.0,3.8450732827186584,,8,,,baseline_extrap_nn_gpu,200.0,6.0
baseline,5.0,20260212,False,0.25383172088175093,0.0,352.90487483143806,,1446,,,baseline_extrap_nn_gpu,200.0,6.0
