missing_ratio,baseline_sr,asm_sr,delta_sr,baseline_rmse,asm_rmse
0.0,0.225,0.1875,-0.037500000000000006,0.37184577013801273,0.44467631665849405
0.1,0.225,0.1875,-0.037500000000000006,0.37212679835395246,0.449409345605533
0.3,0.225,0.1875,-0.037500000000000006,0.38581536014931206,0.4517665615568647
0.5,0.2125,0.1625,-0.04999999999999999,0.3828576215474555,0.46619940927067843
