pitch_um,focal_mm,baseline_sr,baseline_rmse,baseline_dr,baseline_n,asm_sr,asm_rmse,asm_dr,asm_n,delta_sr,rmse_gain,range_gain,pass_14x
180.0,12.0,0.8888888888888888,0.07965347337049028,1.5,9,0.9523809523809523,0.01462273215233581,12.5,42,0.06349206349206349,0.06503074121815447,8.333333333333334,False
200.0,3.0,0.8888888888888888,0.06822546473291251,1.5,9,1.0,0.0002067297155067005,23.5,72,0.11111111111111116,0.06801873501740581,15.666666666666666,True
200.0,4.0,0.75,0.08307335091533667,2.5,12,1.0,0.0015305148401670516,23.5,72,0.25,0.08154283607516961,9.4,False
200.0,5.0,0.8888888888888888,0.07389857474346787,1.5,9,1.0,0.009572781972862555,23.5,72,0.11111111111111116,0.06432579277060531,15.666666666666666,True
200.0,6.0,0.7777777777777778,0.06517638794115649,1.5,9,0.9710144927536232,0.014032961147152908,21.5,69,0.19323671497584538,0.05114342679400358,14.333333333333334,True
200.0,8.0,0.8888888888888888,0.07587014832714936,1.5,9,0.9629629629629629,0.012320189500009387,16.5,54,0.07407407407407407,0.06354995882713997,11.0,False
200.0,10.0,0.8888888888888888,0.07613163388481732,1.5,9,0.9777777777777777,0.015373023023010276,13.5,45,0.0888888888888889,0.06075861086180705,9.0,False
200.0,12.0,0.7777777777777778,0.0682492627523033,1.5,9,0.9743589743589743,0.014613371286628618,11.5,39,0.19658119658119655,0.05363589146567468,7.666666666666667,False
250.0,3.0,0.8888888888888888,0.06784925804524289,1.5,9,1.0,0.00030060685292992946,23.5,72,0.11111111111111116,0.06754865119231296,15.666666666666666,True
250.0,4.0,0.8888888888888888,0.07156182072161003,1.5,9,1.0,0.0022334579129178102,23.5,72,0.11111111111111116,0.06932836280869223,15.666666666666666,True
250.0,5.0,0.8888888888888888,0.0740335514561463,1.5,9,1.0,0.012038461279171065,23.5,72,0.11111111111111116,0.06199509017697524,15.666666666666666,True
250.0,6.0,0.8888888888888888,0.07617189476829264,1.5,9,0.9696969696969697,0.013437304340991536,20.5,66,0.08080808080808088,0.0627345904273011,13.666666666666666,False
250.0,8.0,0.8333333333333334,0.04887635591155556,0.5,6,0.9629629629629629,0.0156283164487813,16.5,54,0.12962962962962954,0.033248039462774256,33.0,True
250.0,10.0,0.8888888888888888,0.07592236410698275,1.5,9,0.9761904761904762,0.01251336540053879,12.5,42,0.08730158730158732,0.06340899870644395,8.333333333333334,False
250.0,12.0,0.8888888888888888,0.08072610282740966,1.5,9,0.9722222222222222,0.011375194639480238,10.5,36,0.08333333333333337,0.06935090818792942,7.0,False
300.0,3.0,0.8888888888888888,0.06811023701648866,1.5,9,1.0,0.0005450500266754262,23.5,72,0.11111111111111116,0.06756518698981323,15.666666666666666,True
300.0,4.0,0.8888888888888888,0.07291731256486077,1.5,9,1.0,0.003495820361524113,23.5,72,0.11111111111111116,0.06942149220333665,15.666666666666666,True
300.0,5.0,0.8333333333333334,0.04239381832729666,0.5,6,0.9855072463768116,0.009927670323094592,21.5,69,0.15217391304347827,0.03246614800420207,43.0,True
300.0,6.0,0.75,0.08245859111352034,2.5,12,0.9833333333333333,0.01163260646248934,18.5,60,0.23333333333333328,0.070825984651031,7.4,False
300.0,8.0,0.75,0.08514981148527595,2.5,12,0.9777777777777777,0.008194472609465688,13.5,45,0.22777777777777775,0.07695533887581027,5.4,False
300.0,10.0,0.8888888888888888,0.07724443450446855,1.5,9,0.9761904761904762,0.017265554894474296,12.5,42,0.08730158730158732,0.059978879609994255,8.333333333333334,False
300.0,12.0,0.8888888888888888,0.08478522733707466,1.5,9,0.9722222222222222,0.01597626550986694,10.5,36,0.08333333333333337,0.06880896182720772,7.0,False
