method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver
asm,2.5,20260210,True,0.1116961613823008,0.0,37140.7949635759,38.979736328125,4525,42.08684158325195,38.979736328125,asm_icp_pso_gpu
asm,2.5,20260211,True,0.12372216903314938,0.0,24663.317881524563,41.63541030883789,2577,44.61323547363281,41.63541030883789,asm_icp_pso_gpu
asm,2.5,20260212,True,0.11656226985552454,0.0,33649.75320920348,32.60178756713867,4177,36.163291931152344,32.60178756713867,asm_icp_pso_gpu
asm,3.5,20260210,False,0.17929714906760305,0.0,30907.21377916634,40.2504997253418,3380,43.32697677612305,40.2504997253418,asm_sorting_icp_gpu
asm,3.5,20260211,False,0.19804820409119275,0.0,18417.006175033748,42.99550247192383,1564,45.90924835205078,42.99550247192383,asm_sorting_icp_gpu
asm,3.5,20260212,False,0.22364259210003298,0.0,29192.147938534617,30.95790672302246,2922,34.64133834838867,30.95790672302246,asm_pso_icp_gpu
asm,4.5,20260210,False,0.22026047551626843,0.0,28325.295514427125,42.18407440185547,3283,45.130252838134766,42.18407440185547,asm_sorting_icp_gpu
asm,4.5,20260211,False,0.25985155199439575,0.0,16834.249952808022,43.64823532104492,1041,46.46525192260742,43.64823532104492,asm_sorting_icp_gpu
asm,4.5,20260212,False,0.24866236076213655,0.0,26358.08125231415,32.294490814208984,2503,36.02700424194336,32.294490814208984,asm_pso_icp_gpu
