pitch_um,focal_mm,baseline_sr,baseline_rmse,baseline_dr,baseline_n,asm_sr,asm_rmse,asm_dr,asm_n,delta_sr,rmse_gain,range_gain,pass_14x
100.0,3.0,0.8333333333333334,0.04615565131656703,1.5,6,0.0,,0.0,2,-0.8333333333333334,,0.0,False
100.0,5.0,0.8333333333333334,0.06249694081504792,1.5,6,0.75,0.041326476104955066,0.5,4,-0.08333333333333337,0.021170464710092853,0.3333333333333333,False
100.0,8.0,0.8333333333333334,0.07469628536027703,1.5,6,0.75,0.08299290489799377,2.5,8,-0.08333333333333337,-0.008296619537716737,1.6666666666666667,False
150.0,3.0,0.75,0.07774047209137665,2.5,8,0.0,,0.0,2,-0.75,,0.0,False
150.0,5.0,0.8333333333333334,0.06944064875545344,1.5,6,0.75,0.07715067025984652,2.5,8,-0.08333333333333337,-0.00771002150439308,1.6666666666666667,False
150.0,8.0,0.8333333333333334,0.07687549341216252,1.5,6,0.75,0.08072084176514623,2.5,8,-0.08333333333333337,-0.00384534835298371,1.6666666666666667,False
250.0,3.0,0.8333333333333334,0.06535911096564354,1.5,6,0.75,0.06515685475526824,0.5,4,-0.08333333333333337,0.0002022562103752984,0.3333333333333333,False
250.0,5.0,0.8333333333333334,0.0736265466901529,1.5,6,0.75,0.08182774151290506,2.5,8,-0.08333333333333337,-0.008201194822752167,1.6666666666666667,False
250.0,8.0,0.75,0.04817210262015167,0.5,4,0.75,0.08083830480220672,2.5,8,0.0,-0.03266620218205505,5.0,False
300.0,3.0,0.8333333333333334,0.06703773577848098,1.5,6,0.5,0.0720258739042837,0.0,2,-0.33333333333333337,-0.0049881381258027185,0.0,False
300.0,5.0,0.75,0.04229780601161429,0.5,4,0.8333333333333334,0.07153920603854406,1.5,6,0.08333333333333337,-0.02924140002692977,3.0,False
300.0,8.0,0.75,0.09102264199849569,2.5,8,0.75,0.08373666127322225,2.5,8,0.0,0.007285980725273436,1.0,False
