method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver,pitch_um,focal_mm
asm,5.0,20260210,True,1.1325922998584705e-06,0.0,5193.000301718712,0.5570620894432068,6620,0.6285467743873596,0.5570620894432068,asm_oracle_ls_gpu,100.0,10.0
asm,5.0,20260211,True,0.00015408562999598242,0.0,5155.493840575218,0.6104854345321655,1330,0.6927080154418945,0.6104854345321655,asm_oracle_ls_gpu,100.0,10.0
asm,5.0,20260212,True,3.669947458112468e-07,0.0,5184.69462543726,0.5518481731414795,6870,0.6243134140968323,0.5518481731414795,asm_oracle_ls_gpu,100.0,10.0
asm,5.0,20260210,True,3.753083863831318e-07,0.0,5218.897107988596,0.5559131503105164,4179,0.6270838379859924,0.5559131503105164,asm_oracle_ls_gpu,100.0,12.0
asm,5.0,20260211,True,0.00014896045933626424,0.0,5154.5261815190315,0.594512403011322,950,0.6745545268058777,0.594512403011322,asm_oracle_ls_gpu,100.0,12.0
asm,5.0,20260212,True,1.6470559614270354e-06,0.0,5176.223818212748,0.5511490106582642,3601,0.6228455901145935,0.5511490106582642,asm_oracle_ls_gpu,100.0,12.0
asm,5.0,20260210,True,4.740076650733566e-07,0.0,3634.900990873575,0.5569801330566406,17848,0.628221869468689,0.5569801330566406,asm_oracle_ls_gpu,120.0,3.0
asm,5.0,20260211,True,7.227584980134821e-07,0.0,3589.2965123057365,0.5550447106361389,7767,0.6280636191368103,0.5550447106361389,asm_oracle_ls_gpu,120.0,3.0
asm,5.0,20260212,True,3.36732372343185e-07,0.0,3632.226888090372,0.5547897815704346,17293,0.6267131567001343,0.5547897815704346,asm_oracle_ls_gpu,120.0,3.0
asm,5.0,20260210,True,3.2044353229036907e-07,0.0,3631.689865142107,0.5578858256340027,14732,0.629198431968689,0.5578858256340027,asm_oracle_ls_gpu,120.0,4.0
asm,5.0,20260211,True,1.0347370854314339e-06,0.0,3633.368607610464,0.5517998933792114,5263,0.6259609460830688,0.5517998933792114,asm_oracle_ls_gpu,120.0,4.0
asm,5.0,20260212,True,2.828902923223304e-07,0.0,3603.674992918968,0.5541205406188965,14265,0.6258696913719177,0.5541205406188965,asm_oracle_ls_gpu,120.0,4.0
asm,5.0,20260210,True,2.6739815567200995e-07,0.0,3582.3077857494354,0.5586360096931458,12117,0.6300948262214661,0.5586360096931458,asm_oracle_ls_gpu,120.0,5.0
asm,5.0,20260211,True,1.5144108587125962e-06,0.0,3589.159555733204,0.5479462146759033,3722,0.6224204897880554,0.5479462146759033,asm_oracle_ls_gpu,120.0,5.0
asm,5.0,20260212,True,5.668545665655632e-07,0.0,3592.9732732474804,0.5541916489601135,11870,0.6261006593704224,0.5541916489601135,asm_oracle_ls_gpu,120.0,5.0
asm,5.0,20260210,True,4.3281466700871423e-07,0.0,3628.9238333702087,0.5621709823608398,10094,0.6336649656295776,0.5621709823608398,asm_oracle_ls_gpu,120.0,6.0
asm,5.0,20260211,True,1.041150727488221e-06,0.0,3608.260214328766,0.5436882376670837,2670,0.6172534227371216,0.5436882376670837,asm_oracle_ls_gpu,120.0,6.0
asm,5.0,20260212,True,6.832299127824546e-07,0.0,3594.351440668106,0.5541401505470276,10127,0.6261623501777649,0.5541401505470276,asm_oracle_ls_gpu,120.0,6.0
asm,5.0,20260210,True,6.903755661826937e-07,0.0,3622.7195523679256,0.5615469217300415,6887,0.6333733201026917,0.5615469217300415,asm_oracle_ls_gpu,120.0,8.0
asm,5.0,20260211,True,3.8669838133432576e-05,0.0,3604.992236942053,0.5581747889518738,1452,0.6291126608848572,0.5581747889518738,asm_oracle_ls_gpu,120.0,8.0
asm,5.0,20260212,True,7.795606148661243e-07,0.0,3575.9851709008217,0.5544941425323486,7691,0.6272028088569641,0.5544941425323486,asm_oracle_ls_gpu,120.0,8.0
asm,5.0,20260210,True,1.0338650490705292e-06,0.0,3597.568605095148,0.563835084438324,4606,0.636296272277832,0.563835084438324,asm_oracle_ls_gpu,120.0,10.0
asm,5.0,20260211,True,0.00010584143415260959,0.0,3578.4824900329113,0.5729544758796692,915,0.6459066271781921,0.5729544758796692,asm_oracle_ls_gpu,120.0,10.0
asm,5.0,20260212,True,8.319792697779682e-07,0.0,3566.8079890310764,0.5580865144729614,4768,0.6299813389778137,0.5580865144729614,asm_oracle_ls_gpu,120.0,10.0
asm,5.0,20260210,True,3.761331172446384e-06,0.0,3547.155700623989,0.5628863573074341,2896,0.6348295211791992,0.5628863573074341,asm_oracle_ls_gpu,120.0,12.0
