method,pv_level,seed,success,rmse,runtime_ms,solver,n_observed,pso_converged,pso_n_iter,pso_dH
baseline,0.5,900000,True,0.0009806327626526563,128.1213015317917,baseline_nn,361,,,
baseline,0.5,900001,True,0.0008750393776134667,122.06553108990192,baseline_nn,361,,,
baseline,0.5,900002,True,0.0006735090844685487,127.05949693918228,baseline_nn,361,,,
baseline,0.5,900003,True,0.002157602493126552,125.22947508841753,baseline_nn,361,,,
baseline,0.5,900004,True,0.0007852911705917011,123.0113161727786,baseline_nn,361,,,
baseline,1.0,900000,True,0.000980632762652706,132.57976062595844,baseline_nn,361,,,
baseline,1.0,900001,True,0.0008750393776132862,122.88961093872786,baseline_nn,361,,,
baseline,1.0,900002,True,0.0006735090844683945,126.61297060549259,baseline_nn,361,,,
baseline,1.0,900003,True,0.0021576024931261374,122.12265096604824,baseline_nn,361,,,
baseline,1.0,900004,True,0.0007852911705914482,129.84008714556694,baseline_nn,361,,,
baseline,2.0,900000,True,0.0009803456948922454,123.90276789665222,baseline_nn,361,,,
baseline,2.0,900001,True,0.0009449980929119535,126.0551456362009,baseline_nn,361,,,
baseline,2.0,900002,True,0.0006735090844687249,122.93198611587286,baseline_nn,361,,,
baseline,2.0,900003,True,0.0021576024931261556,125.60705561190844,baseline_nn,361,,,
baseline,2.0,900004,True,0.000781721481779853,123.39558359235525,baseline_nn,361,,,
baseline,3.0,900000,True,0.0012424106441815343,123.34251031279564,baseline_nn,361,,,
baseline,3.0,900001,True,0.0008819447487991186,123.57847485691309,baseline_nn,361,,,
baseline,3.0,900002,True,0.0006259179579464279,121.94820772856474,baseline_nn,361,,,
baseline,3.0,900003,True,0.0019889858150961954,121.92177679389715,baseline_nn,361,,,
baseline,3.0,900004,True,0.0007334720935156008,123.59562609344721,baseline_nn,361,,,
baseline,5.0,900000,True,0.033147184449947804,122.8352589532733,baseline_nn,361,,,
baseline,5.0,900001,True,0.0012074259406602006,124.61462989449501,baseline_nn,361,,,
baseline,5.0,900002,True,0.0013798049562088071,128.92408296465874,baseline_nn,361,,,
baseline,5.0,900003,True,0.019754317260646793,128.21576185524464,baseline_nn,361,,,
baseline,5.0,900004,True,0.013603726825764712,128.77532560378313,baseline_nn,361,,,
baseline,7.0,900000,True,0.014004292090936132,124.67473652213812,baseline_nn,361,,,
baseline,7.0,900001,True,0.008668334796315706,127.69567128270864,baseline_nn,361,,,
baseline,7.0,900002,True,0.022004398004588904,130.15387021005154,baseline_nn,361,,,
baseline,7.0,900003,True,0.01726286562844287,123.59089590609074,baseline_nn,361,,,
baseline,7.0,900004,True,0.058698066924635924,126.33943371474743,baseline_nn,361,,,
baseline,10.0,900000,True,0.005151505874766023,123.54742083698511,baseline_nn,361,,,
baseline,10.0,900001,True,0.00864806040775629,123.90272505581379,baseline_nn,361,,,
baseline,10.0,900002,True,0.05193720559224666,123.452790081501,baseline_nn,361,,,
baseline,10.0,900003,True,0.014041432043144543,124.38548170030117,baseline_nn,361,,,
baseline,10.0,900004,True,0.024862877818592692,129.19643055647612,baseline_nn,361,,,
