method,pv_level,seed,success,rmse,runtime_ms,solver,n_observed,pso_converged,pso_n_iter,pso_dH
baseline,0.5,900000,True,0.0009806327626526563,123.1765216216445,baseline_nn,361,,,
baseline,0.5,900001,True,0.0008750393776134667,122.27636855095625,baseline_nn,361,,,
baseline,0.5,900002,True,0.0006735090844685487,122.39184975624084,baseline_nn,361,,,
baseline,0.5,900003,True,0.002157602493126552,124.78133477270603,baseline_nn,361,,,
baseline,0.5,900004,True,0.0007852911705917011,122.75984045118093,baseline_nn,361,,,
baseline,1.0,900000,True,0.000980632762652706,122.53030389547348,baseline_nn,361,,,
baseline,1.0,900001,True,0.0008750393776132862,121.6261275112629,baseline_nn,361,,,
baseline,1.0,900002,True,0.0006735090844683945,122.5003469735384,baseline_nn,361,,,
baseline,1.0,900003,True,0.0021576024931261374,121.90850172191858,baseline_nn,361,,,
baseline,1.0,900004,True,0.0007852911705914482,121.05698231607676,baseline_nn,361,,,
baseline,2.0,900000,True,0.0009803456948922454,127.36112717539072,baseline_nn,361,,,
baseline,2.0,900001,True,0.0009449980929119535,124.33418724685907,baseline_nn,361,,,
baseline,2.0,900002,True,0.0006735090844687249,121.40403594821692,baseline_nn,361,,,
baseline,2.0,900003,True,0.0021576024931261556,127.03059054911137,baseline_nn,361,,,
baseline,2.0,900004,True,0.000781721481779853,120.9047120064497,baseline_nn,361,,,
baseline,3.0,900000,True,0.0012424106441815343,123.13164584338665,baseline_nn,361,,,
baseline,3.0,900001,True,0.0008819447487991186,123.5234746709466,baseline_nn,361,,,
baseline,3.0,900002,True,0.0006259179579464279,127.19028349965811,baseline_nn,361,,,
baseline,3.0,900003,True,0.0019889858150961954,122.18949105590582,baseline_nn,361,,,
baseline,3.0,900004,True,0.0007334720935156008,124.50720183551311,baseline_nn,361,,,
baseline,5.0,900000,True,0.033147184449947804,126.01800449192524,baseline_nn,361,,,
baseline,5.0,900001,True,0.0012074259406602006,125.66574197262526,baseline_nn,361,,,
baseline,5.0,900002,True,0.0013798049562088071,128.29044926911592,baseline_nn,361,,,
baseline,5.0,900003,True,0.019754317260646793,128.85572481900454,baseline_nn,361,,,
baseline,5.0,900004,True,0.013603726825764712,127.94787809252739,baseline_nn,361,,,
baseline,7.0,900000,True,0.014004292090936132,124.37497731298208,baseline_nn,361,,,
baseline,7.0,900001,True,0.008668334796315706,126.61451660096645,baseline_nn,361,,,
baseline,7.0,900002,True,0.022004398004588904,126.32139213383198,baseline_nn,361,,,
baseline,7.0,900003,True,0.01726286562844287,122.84769117832184,baseline_nn,361,,,
baseline,7.0,900004,True,0.058698066924635924,125.32117776572704,baseline_nn,361,,,
baseline,10.0,900000,True,0.005151505874766023,129.7363704070449,baseline_nn,361,,,
baseline,10.0,900001,True,0.00864806040775629,180.43482303619385,baseline_nn,361,,,
baseline,10.0,900002,True,0.05193720559224666,123.11048619449139,baseline_nn,361,,,
baseline,10.0,900003,True,0.014041432043144543,128.86962573975325,baseline_nn,361,,,
baseline,10.0,900004,True,0.024862877818592692,127.07611545920372,baseline_nn,361,,,
