method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver,pitch_um,focal_mm
asm,0.5,20260210,True,2.795227068038099e-07,0.0,4467.056035995483,0.557532787322998,29550,0.62947016954422,0.557532787322998,asm_oracle_ls_gpu,100.0,3.0
asm,0.5,20260211,True,3.000517562222636e-07,0.0,3.113219514489174,0.553608238697052,28674,0.6256945133209229,0.553608238697052,asm_oracle_ls_gpu,100.0,3.0
asm,0.5,20260212,True,2.318762196538643e-07,0.0,2.8656097128987312,0.5544107556343079,29689,0.6263337135314941,0.5544107556343079,asm_oracle_ls_gpu,100.0,3.0
asm,1.5,20260210,True,3.239695668691608e-07,0.0,3.2071955502033234,0.557075560092926,28572,0.6289483308792114,0.557075560092926,asm_oracle_ls_gpu,100.0,3.0
asm,1.5,20260211,True,3.59630523230896e-07,0.0,2.9552849009633064,0.5553208589553833,23551,0.6273714303970337,0.5553208589553833,asm_oracle_ls_gpu,100.0,3.0
asm,1.5,20260212,True,2.2915195478341358e-07,0.0,2.731035463511944,0.5543754696846008,28511,0.6263637542724609,0.5543754696846008,asm_oracle_ls_gpu,100.0,3.0
asm,2.5,20260210,True,3.7078993347027007e-07,0.0,2.730194479227066,0.5578026175498962,27824,0.6296898126602173,0.5578026175498962,asm_oracle_ls_gpu,100.0,3.0
asm,2.5,20260211,True,4.629465973478985e-07,0.0,2.558301202952862,0.5569453835487366,19141,0.6286790370941162,0.5569453835487366,asm_oracle_ls_gpu,100.0,3.0
asm,2.5,20260212,True,2.6986764479136456e-07,0.0,2.6700878515839577,0.5536510348320007,27658,0.6257030367851257,0.5536510348320007,asm_oracle_ls_gpu,100.0,3.0
asm,3.5,20260210,True,3.8344766323231885e-07,0.0,2.690037712454796,0.5575839281082153,27255,0.6294249892234802,0.5575839281082153,asm_oracle_ls_gpu,100.0,3.0
asm,3.5,20260211,True,5.506206895346439e-07,0.0,2.6267878711223602,0.5557140707969666,15719,0.6272971630096436,0.5557140707969666,asm_oracle_ls_gpu,100.0,3.0
asm,3.5,20260212,True,3.025228858518726e-07,0.0,2.615273930132389,0.553608238697052,27145,0.6256653666496277,0.553608238697052,asm_oracle_ls_gpu,100.0,3.0
asm,4.5,20260210,True,3.389524713911113e-07,0.0,14.411336742341518,0.5575128793716431,26717,0.6293489933013916,0.5575128793716431,asm_oracle_ls_gpu,100.0,3.0
asm,4.5,20260211,True,7.015396318819692e-07,0.0,72.28935044258833,0.5568159818649292,12614,0.6284136176109314,0.5568159818649292,asm_oracle_ls_gpu,100.0,3.0
asm,4.5,20260212,True,3.783876009681212e-07,0.0,4.119260236620903,0.5537670254707336,25832,0.6257007122039795,0.5537670254707336,asm_oracle_ls_gpu,100.0,3.0
asm,5.5,20260210,True,3.5505535420714703e-07,0.0,3.8621751591563225,0.5573596358299255,24334,0.6291940212249756,0.5573596358299255,asm_oracle_ls_gpu,100.0,3.0
asm,5.5,20260211,True,6.654305569469523e-07,0.0,2.77026928961277,0.5580824613571167,9907,0.6299858689308167,0.5580824613571167,asm_oracle_ls_gpu,100.0,3.0
asm,5.5,20260212,True,3.451969382537338e-07,0.0,2.850731834769249,0.5539376139640808,23568,0.6259906888008118,0.5539376139640808,asm_oracle_ls_gpu,100.0,3.0
asm,6.5,20260210,True,3.241892992689212e-07,0.0,2.823818475008011,0.5578690767288208,21642,0.6297749876976013,0.5578690767288208,asm_oracle_ls_gpu,100.0,3.0
asm,6.5,20260211,True,1.1425172121739846e-06,0.0,3.107381984591484,0.5589211583137512,7870,0.6309788227081299,0.5589211583137512,asm_oracle_ls_gpu,100.0,3.0
asm,6.5,20260212,True,4.148627627092167e-07,0.0,2.903921529650688,0.5538110136985779,20950,0.6260051727294922,0.5538110136985779,asm_oracle_ls_gpu,100.0,3.0
asm,7.5,20260210,True,4.4139217735680455e-07,0.0,3.194681368768215,0.5569047331809998,19235,0.6286640167236328,0.5569047331809998,asm_oracle_ls_gpu,100.0,3.0
asm,7.5,20260211,True,3.1356459119477417e-06,0.0,3.2783756032586098,0.5615702271461487,6377,0.6332653760910034,0.5615702271461487,asm_oracle_ls_gpu,100.0,3.0
asm,7.5,20260212,True,4.635295016780265e-07,0.0,2.6474520564079285,0.553613007068634,18643,0.625793993473053,0.553613007068634,asm_oracle_ls_gpu,100.0,3.0
asm,8.5,20260210,True,6.506684413492462e-07,0.0,2.5373417884111404,0.5564226508140564,17084,0.6284738183021545,0.5564226508140564,asm_oracle_ls_gpu,100.0,3.0
asm,8.5,20260211,True,3.2941844390962332e-06,0.0,5.563627928495407,0.5617872476577759,5195,0.6332546472549438,0.5617872476577759,asm_oracle_ls_gpu,100.0,3.0
asm,8.5,20260212,True,7.910703944399698e-07,0.0,2.967572771012783,0.5532019138336182,16790,0.6255202889442444,0.5532019138336182,asm_oracle_ls_gpu,100.0,3.0
asm,9.5,20260210,True,1.0676941457439355e-06,0.0,2.7869921177625656,0.5578555464744568,15306,0.6297979950904846,0.5578555464744568,asm_oracle_ls_gpu,100.0,3.0
asm,9.5,20260211,True,1.867750534934166e-06,0.0,17.71714072674513,0.5643396973609924,4237,0.6359530687332153,0.5643396973609924,asm_oracle_ls_gpu,100.0,3.0
asm,9.5,20260212,True,7.802336320647993e-07,0.0,2.4714432656764984,0.5530155897140503,15267,0.625424325466156,0.5530155897140503,asm_oracle_ls_gpu,100.0,3.0
asm,10.5,20260210,True,1.1573412676886344e-06,0.0,2.801082096993923,0.5581505298614502,13706,0.6297146677970886,0.5581505298614502,asm_oracle_ls_gpu,100.0,3.0
asm,10.5,20260211,True,1.636477628881098e-05,0.0,24.33903142809868,0.5652956366539001,3472,0.6372910737991333,0.5652956366539001,asm_oracle_ls_gpu,100.0,3.0
asm,10.5,20260212,True,5.737039871167758e-07,0.0,3.024791367352009,0.5543230175971985,13919,0.6268002986907959,0.5543230175971985,asm_oracle_ls_gpu,100.0,3.0
asm,11.5,20260210,True,9.998449915440844e-07,0.0,2.670492045581341,0.5578471422195435,12235,0.6293845772743225,0.5578471422195435,asm_oracle_ls_gpu,100.0,3.0
asm,11.5,20260211,True,1.4426072853595241e-05,0.0,2.3777512833476067,0.5582892894744873,2819,0.630979061126709,0.5582892894744873,asm_oracle_ls_gpu,100.0,3.0
asm,11.5,20260212,True,1.1461168835809878e-06,0.0,2.559521235525608,0.5547966957092285,12710,0.6275392770767212,0.5547966957092285,asm_oracle_ls_gpu,100.0,3.0
asm,12.5,20260210,True,1.2683056591841802e-06,0.0,5.416015163064003,0.5586097836494446,10911,0.630082905292511,0.5586097836494446,asm_oracle_ls_gpu,100.0,3.0
asm,12.5,20260211,True,3.6123805319244205e-05,0.0,2.5612935423851013,0.5557839870452881,2360,0.6287540197372437,0.5557839870452881,asm_oracle_ls_gpu,100.0,3.0
asm,12.5,20260212,True,6.208060973526278e-07,0.0,2.4860743433237076,0.5551391243934631,11771,0.6280394196510315,0.5551391243934631,asm_oracle_ls_gpu,100.0,3.0
asm,13.5,20260210,True,1.383349617900148e-06,0.0,2.5348691269755363,0.5575247406959534,9700,0.6289690136909485,0.5575247406959534,asm_oracle_ls_gpu,100.0,3.0
asm,13.5,20260211,True,1.0206734834802118e-05,0.0,2.527208998799324,0.5551418662071228,2027,0.6278493404388428,0.5551418662071228,asm_oracle_ls_gpu,100.0,3.0
asm,13.5,20260212,True,1.6978457321797007e-06,0.0,2.551124431192875,0.5544722080230713,10946,0.627691924571991,0.5544722080230713,asm_oracle_ls_gpu,100.0,3.0
asm,14.5,20260210,True,1.3265033359224424e-06,0.0,3.1864624470472336,0.5582025051116943,8618,0.6300913095474243,0.5582025051116943,asm_oracle_ls_gpu,100.0,3.0
asm,14.5,20260211,True,3.623120727922736e-05,0.0,79.5723358169198,0.5563865303993225,1753,0.6293895244598389,0.5563865303993225,asm_oracle_ls_gpu,100.0,3.0
asm,14.5,20260212,True,1.6565798179139055e-06,0.0,2.507285214960575,0.5545803904533386,10263,0.6280078291893005,0.5545803904533386,asm_oracle_ls_gpu,100.0,3.0
