pitch_um,focal_mm,baseline_sr,baseline_rmse,baseline_dr,baseline_n,asm_sr,asm_rmse,asm_dr,asm_n,delta_sr,rmse_gain,range_gain,pass_14x
150.0,4.0,0.75,0.0744769934815775,2.5,4,1.0,5.170407126670272e-07,5.5,6,0.25,0.07447647644086484,2.2,False
150.0,8.0,0.75,0.08540983973227063,2.5,4,1.0,5.426818258802629e-07,5.5,6,0.25,0.08540929705044475,2.2,False
250.0,4.0,0.75,0.07904903941718078,2.5,4,1.0,6.129481611560945e-07,5.5,6,0.25,0.07904842646901962,2.2,False
250.0,8.0,0.75,0.08750019540839864,2.5,4,1.0,4.1824845521187193e-07,5.5,6,0.25,0.08749977715994342,2.2,False
